FID,STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,STAIDT
17,01022330,"Narraguagus River at Deblois, Maine",Ref,NorthEast,264.8124,01,44.740833,-68.013333,ME," ",yes,5,5,5,T01022330
18,01022500,"Narraguagus River at Cherryfield, Maine",Ref,NorthEast,573.6006,01,44.607972,-67.935242,ME,yes,yes,61,60,20,T01022500
19,01023000,"WEST BRANCH UNION RIVER AT AMHERST, ME",Ref,NorthEast,385.0974,01,44.840239,-68.372017,ME," "," ",60,30,0,T01023000
20,01027200,"North Branch Penobscot River nr Pittston Farm, ME",Ref,NorthEast,582.0489,01,45.935278,-69.993611,ME," ",yes,8,8,8,T01027200
21,01029200,"Seboeis River near Shin Pond, Maine",Ref,NorthEast,444.9492,01,46.143056,-68.633611,ME," ",yes,11,11,11,T01029200
22,01029500,"East Branch Penobscot River at Grindstone, Maine",Non-ref,NorthEast,2816.295,01,45.730267,-68.589486,ME," ",yes,89,44,11,T01029500
23,01030000,"PENOBSCOT RIVER NEAR MATTAWAMKEAG, ME",Non-ref,NorthEast,8732.993,01,45.566333,-68.403664,ME," "," ",51,42,2,T01030000
24,01030500,"Mattawamkeag River near Mattawamkeag, Maine",Ref,NorthEast,3676.172,01,45.500975,-68.305956,ME,yes,yes,75,60,20,T01030500
25,01031300,"Piscataquis River at Blanchard, Maine",Ref,NorthEast,304.3764,01,45.267222,-69.583889,ME," ",yes,13,13,13,T01031300
26,01031450,"Kingsbury Stream at Abbot Village, Maine",Non-ref,NorthEast,239.0922,01,45.184444,-69.452222,ME," ",yes,12,12,12,T01031450
27,01031500,"Piscataquis River near Dover-Foxcroft, Maine",Ref,NorthEast,769.0482,01,45.175008,-69.314697,ME,yes,yes,107,60,20,T01031500
28,01031510,"Black Stream near Dover-Foxcroft, Maine",Ref,NorthEast,70.1046,01,45.150278,-69.236389,ME," ",yes,1,1,1,T01031510
29,01033000,"SEBEC RIVER AT SEBEC, ME",Non-ref,NorthEast,844.353,01,45.270256,-69.111733,ME," "," ",66,42,4,T01033000
30,01033500,"PLEASANT RIVER NEAR MILO, ME",Ref,NorthEast,833.9643,01,45.282578,-69.003439,ME," "," ",59,30,0,T01033500
31,01034000,"Piscataquis River at Medford, Maine",Non-ref,NorthEast,3011.229,01,45.260611,-68.868614,ME," ",yes,78,53,20,T01034000
32,01034500,"Penobscot River at West Enfield, Maine",Non-ref,NorthEast,17347.38,01,45.236175,-68.651383,ME," ",yes,107,60,20,T01034500
33,01035000,"PASSADUMKEAG RIVER AT LOWELL, ME",Non-ref,NorthEast,779.4081,01,45.183936,-68.474425,ME," "," ",64,30,0,T01035000
34,01036500,"KENDUSKEAG STREAM NEAR KENDUSKEAG, ME",Non-ref,NorthEast,391.4991,01,44.897144,-68.883683,ME," "," ",38,30,0,T01036500
35,01037380,"Ducktrap River near Lincolnville, Maine",Ref,NorthEast,39.0231,01,44.329167,-69.060833,ME," ",yes,11,11,11,T01037380
36,01038000,"Sheepscot River at North Whitefield, Maine",Non-ref,NorthEast,375.0849,01,44.222778,-69.593758,ME," ",yes,71,60,20,T01038000
37,01041000,"KENNEBEC RIVER AT MOOSEHEAD, ME",Non-ref,NorthEast,3293.256,01,45.58485,-69.716964,ME," "," ",63,33,0,T01041000
38,01042500,"Kennebec River at The Forks, Maine",Non-ref,NorthEast,4124.36,01,45.339708,-69.962058,ME," ",yes,106,60,20,T01042500
39,01043500,"DEAD RIVER NEAR DEAD RIVER, ME",Non-ref,NorthEast,1343.69,01,45.230458,-70.199836,ME," "," ",43,33,0,T01043500
40,01044550,"Spencer Stream near Grand Falls, Maine",Ref,NorthEast,499.7628,01,45.313611,-70.241667,ME," ",yes,10,10,10,T01044550
41,01045000,"DEAD RIVER AT THE FORKS, ME",Non-ref,NorthEast,2254.018,01,45.349056,-69.990189,ME," "," ",74,30,0,T01045000
42,01046000,"AUSTIN STREAM AT BINGHAM, ME",Ref,NorthEast,243.1584,01,45.065186,-69.880767,ME," ",yes,39,21,1,T01046000
43,01046500,"Kennebec River at Bingham, Maine",Non-ref,NorthEast,7056.902,01,45.05205,-69.885506,ME," ",yes,81,60,20,T01046500
44,01047000,"Carrabassett River near North Anson, Maine",Ref,NorthEast,909.0972,01,44.8692,-69.955103,ME,yes,yes,88,60,20,T01047000
45,01047150,"Kennebec River near Madison, Maine",Non-ref,NorthEast,8433.685,01,44.778889,-69.886944,ME," ",yes,0,0,0,T01047150
46,01047200,"Sandy River near Madrid, Maine",Ref,NorthEast,65.646,01,44.857778,-70.485278,ME," ",yes,1,1,1,T01047200
47,01048000,"Sandy River near Mercer, Maine",Non-ref,NorthEast,1339.138,01,44.708169,-69.937592,ME," ",yes,72,52,20,T01048000
48,01048220,"East Branch Wesserunsett Stream near Athens, Maine",Ref,NorthEast,49.3893,01,44.9475,-69.656944,ME," ",yes,1,1,1,T01048220
49,01049000,"Sebasticook River near Pittsfield, Maine",Non-ref,NorthEast,1488.607,01,44.716778,-69.413819,ME," ",yes,80,60,20,T01049000
50,01049265,"KENNEBEC RIVER AT NORTH SIDNEY, MAINE",Non-ref,NorthEast,14014.81,01,44.472339,-69.683989,ME," ",yes,24,24,13,T01049265
51,01049500,"Cobbosseecontee Stream at Gardiner, Maine",Non-ref,NorthEast,561.3147,01,44.229097,-69.778047,ME," ",yes,98,48,20,T01049500
52,01052500,"Diamond River near Wentworth Location, NH",Ref,NorthEast,383.8234,01,44.877394,-71.057494,NH,yes,yes,68,60,20,T01052500
53,01053500,"Androscoggin River at Errol, NH",Non-ref,NorthEast,2701.495,01,44.782558,-71.128686,NH," ",yes,103,60,20,T01053500
54,01053600,Androscoggin River below Bog Brook at Cambridge NH,Non-ref,NorthEast,3047.351,01,44.666111,-71.181389,NH," ",yes,1,1,1,T01053600
55,01054000,"Androscoggin River near Gorham, NH",Non-ref,NorthEast,3527.626,01,44.435792,-71.190178,NH," ",yes,89,60,20,T01054000
56,01054200,"Wild River at Gilead, Maine",Ref,NorthEast,180.981,01,44.390444,-70.979644,ME,yes,yes,45,45,20,T01054200
57,01054300,"Ellis River at South Andover, Maine",Ref,NorthEast,337.7295,01,44.593242,-70.733017,ME," ",yes,27,27,8,T01054300
58,01054500,"Androscoggin River at Rumford, Maine",Non-ref,NorthEast,5349.329,01,44.551814,-70.544067,ME," ",yes,108,60,20,T01054500
59,01055000,"Swift River near Roxbury, Maine",Ref,NorthEast,250.641,01,44.642747,-70.588783,ME,yes,yes,80,60,20,T01055000
60,01055500,"Nezinscot River at Turner Center, Maine",Non-ref,NorthEast,439.5051,01,44.269506,-70.229606,ME," ",yes,63,55,15,T01055500
61,01057000,"Little Androscoggin River near South Paris, Maine",Ref,NorthEast,190.9188,01,44.303992,-70.539681,ME,yes,yes,88,60,20,T01057000
62,01058500,"LITTLE ANDROSCOGGIN RIVER NEAR AUBURN, ME",Non-ref,NorthEast,851.4333,01,44.063872,-70.274069,ME," "," ",42,33,0,T01058500
63,01059000,"Androscoggin River near Auburn, Maine",Non-ref,NorthEast,8444.24,01,44.072297,-70.208014,ME," ",yes,80,60,20,T01059000
64,01059800,"Collyer Brook near Gray, Maine",Non-ref,NorthEast,35.3142,01,43.917894,-70.316597,ME," "," ",20,20,2,T01059800
65,01060000,"Royal River at Yarmouth, Maine",Non-ref,NorthEast,364.8285,01,43.79915,-70.178269,ME," "," ",55,55,15,T01060000
66,01064000,"PRESUMPSCOT RIVER AT OUTLET OF SEBAGO LAKE, ME",Non-ref,NorthEast,1145.668,01,43.817528,-70.449936,ME," "," ",99,51,11,T01064000
67,01064118,"Presumpscot River at Westbrook, Maine",Non-ref,NorthEast,1554.034,01,43.686997,-70.347136,ME," "," ",20,20,6,T01064118
68,01064300,"ELLIS RIVER NEAR JACKSON, NH",Ref,NorthEast,27.4338,01,44.218956,-71.24924,NH," "," ",40,40,15,T01064300
69,01064400,"LUCY BROOK NEAR NORTH CONWAY, NH",Ref,NorthEast,12.1707,01,44.070347,-71.172849,NH," "," ",27,27,2,T01064400
70,01064500,"Saco River near Conway, NH",Non-ref,NorthEast,993.6964,01,43.990842,-71.090478,NH," ",yes,86,60,20,T01064500
71,01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",Ref,NorthEast,173.4003,01,43.830074,-71.287849,NH," ",yes,16,16,16,T01064801
72,01065000,"OSSIPEE RIVER AT EFFINGHAM FALLS, NH",Non-ref,NorthEast,855.2583,01,43.795075,-71.059234,NH," "," ",48,41,1,T01065000
73,01065500,"OSSIPEE RIVER AT CORNISH, ME",Non-ref,NorthEast,1172.306,01,43.807708,-70.797578,ME," "," ",80,47,7,T01065500
74,01066000,"Saco River at Cornish, Maine",Non-ref,NorthEast,3354.558,01,43.808039,-70.781539,ME," ",yes,93,60,20,T01066000
75,01066500,"LITTLE OSSIPEE RIVER NEAR SOUTH LIMINGTON, ME",Non-ref,NorthEast,423.9324,01,43.689436,-70.670556,ME," "," ",42,33,0,T01066500
76,01067950,"Kennebunk River near Kennebunk, Maine",Ref,NorthEast,71.5041,01,43.43222,-70.55333,ME," ",yes,1,1,1,T01067950
77,01068910,"Mousam River at Route 4 near Sanford, Maine",Non-ref,NorthEast,117.3636,01,43.41833,-70.73806,ME," ",yes,1,1,1,T01068910
78,01069500,"MOUSAM RIVER NEAR WEST KENNEBUNK, ME",Non-ref,NorthEast,264.5136,01,43.418342,-70.658317,ME," ",yes,45,35,0,T01069500
79,01069700,"Branch Brook near Kennebunk, Maine",Non-ref,NorthEast,27.9072,01,43.37917,-70.58333,ME," ",yes,0,0,0,T01069700
80,01072500,"SALMON FALLS RIVER NEAR SOUTH LEBANON, ME",Non-ref,NorthEast,359.8155,01,43.328108,-70.927139,ME," "," ",40,20,0,T01072500
81,01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",Non-ref,NorthEast,243.9549,01,43.268415,-70.973674,NH," ",yes,14,14,14,T01072800
82,01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",Non-ref,NorthEast,191.9754,01,43.2348,-70.95645,NH," ",yes,4,4,4,T01072870
83,01073000,"OYSTER RIVER NEAR DURHAM, NH",Ref,NorthEast,31.2984,01,43.148696,-70.96506,NH,yes,yes,74,60,20,T01073000
84,01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",Non-ref,NorthEast,144.3951,01,43.042307,-71.200618,NH," ",yes,1,1,1,T01073319
85,01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",Non-ref,NorthEast,471.1374,01,43.102586,-70.952559,NH," ",yes,75,60,20,T01073500
86,010735562,"EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH",Non-ref,NorthEast,42.7194,01,42.94898,-71.16478,NH," ",yes,1,1,1,T010735562
87,01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",Non-ref,NorthEast,163.053,01,42.984532,-71.038392,NH," ",yes,13,13,13,T01073587
88,01073600,"DUDLEY BROOK NEAR EXETER, NH",Non-ref,NorthEast,16.3845,01,42.993143,-71.021725,NH," "," ",23,23,0,T01073600
89,01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",Non-ref,NorthEast,36.9495,01,43.036755,-70.84811,NH," ",yes,7,7,7,T01073785
90,01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",Ref,NorthEast,297.1881,01,44.047567,-71.659803,NH," ",yes,16,16,16,T01074520
91,01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",Non-ref,NorthEast,504.288,01,43.976179,-71.679524,NH," ",yes,46,36,8,T01075000
92,01075800,"STEVENS BROOK NEAR WENTWORTH, NH",Ref,NorthEast,7.6743,01,43.836181,-71.885361,NH," "," ",35,35,9,T01075800
93,01076000,"BAKER RIVER NEAR RUMNEY, NH",Non-ref,NorthEast,369.8154,01,43.795626,-71.845359,NH," ",yes,57,36,8,T01076000
94,01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",Non-ref,NorthEast,1608.937,01,43.759239,-71.685634,NH," ",yes,106,60,20,T01076500
95,01077000,"SQUAM RIVER AT ASHLAND, NH",Non-ref,NorthEast,150.2946,01,43.705351,-71.629799,NH," "," ",56,46,6,T01077000
96,01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",Ref,NorthEast,56.1951,01,43.70389,-71.83333,NH," ",yes,1,1,1,T01077400
97,01078000,"SMITH RIVER NEAR BRISTOL, NH",Ref,NorthEast,222.4566,01,43.566463,-71.747857,NH,yes,yes,91,60,20,T01078000
98,01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",Non-ref,NorthEast,1216.967,01,43.441744,-71.587575,NH," ",yes,72,60,20,T01081000
99,01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",Non-ref,NorthEast,3908.064,01,43.422854,-71.652854,NH," ",yes,80,37,8,T01081500
100,01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",Non-ref,NorthEast,175.023,01,42.862584,-71.959246,NH," ",yes,40,36,8,T01082000
101,01083000,NUBANUSIT BK BLW MACDOWELL DAM NR PETERBOROUGH NH,Non-ref,NorthEast,116.8506,01,42.892861,-71.986747,NH," "," ",54,40,0,T01083000
102,01084000,"NORTH BRANCH RIVER NEAR ANTRIM, NH",Non-ref,NorthEast,140.0814,01,43.081746,-71.978415,NH," "," ",46,21,0,T01084000
103,01084500,"BEARD BROOK NEAR HILLSBORO, NH",Ref,NorthEast,143.8074,01,43.114246,-71.926192,NH," "," ",25,21,0,T01084500
104,01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",Non-ref,NorthEast,950.0697,01,43.152024,-71.857301,NH," "," ",38,28,0,T01085000
105,01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",Non-ref,NorthEast,1099.139,01,43.192857,-71.747299,NH," ",yes,34,34,8,T01085500
106,01085800,"WEST BRANCH WARNER RIVER NEAR BRADFORD, NH",Ref,NorthEast,14.7681,01,43.259243,-72.025917,NH," "," ",42,42,15,T01085800
107,01086000,"WARNER RIVER AT DAVISVILLE, NH",Ref,NorthEast,381.5766,01,43.251189,-71.7323,NH," ",yes,47,37,8,T01086000
108,01087000,"BLACKWATER RIVER NEAR WEBSTER, NH",Non-ref,NorthEast,331.8507,01,43.297578,-71.693688,NH," "," ",64,40,0,T01087000
109,01088000,"CONTOOCOOK RIVER AT PENACOOK, NH",Non-ref,NorthEast,1975.255,01,43.28619,-71.598407,NH," "," ",48,28,0,T01088000
110,01089000,"SOUCOOK RIVER NEAR CONCORD, NH",Non-ref,NorthEast,201.0753,01,43.238692,-71.462015,NH," "," ",36,36,0,T01089000
111,01089100,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH",Non-ref,NorthEast,214.1253,01,43.213692,-71.480348,NH," ",yes,21,21,20,T01089100
112,01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",Non-ref,NorthEast,400.7988,01,43.256748,-71.369512,NH," ",yes,50,22,1,T01089500
113,01090800,"PISCATAQUOG RIVER BL EVERETT DAM, NR E WEARE, NH",Non-ref,NorthEast,163.1421,01,43.091471,-71.659518,NH," "," ",26,26,0,T01090800
114,01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",Ref,NorthEast,266.7591,01,43.014805,-71.641461,NH," ",yes,39,30,1,T01091000
115,01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",Non-ref,NorthEast,519.1128,01,43.01675,-71.550625,NH," "," ",39,29,0,T01091500
116,01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",Non-ref,NorthEast,7987.65,01,42.948141,-71.4634,NH," ",yes,72,60,20,T01092000
117,01093000,"SUCKER BROOK AT AUBURN, NH",Non-ref,NorthEast,77.7456,01,43.005918,-71.348676,NH," "," ",32,21,0,T01093000
118,01093800,"STONY BROOK TRIBUTARY NEAR TEMPLE, NH",Ref,NorthEast,9.3897,01,42.860085,-71.832854,NH," "," ",41,41,15,T01093800
119,01093852,"SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH",Non-ref,NorthEast,263.7036,01,42.84259,-71.70674,NH," ",yes,2,2,2,T01093852
120,01094000,"SOUHEGAN RIVER AT MERRIMACK, NH",Non-ref,NorthEast,440.5014,01,42.857586,-71.506179,NH," ",yes,75,35,8,T01094000
121,01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",Non-ref,NorthEast,166.1607,01,42.576201,-71.788129,MA," ",yes,37,37,20,T01094400
122,01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",Non-ref,NorthEast,279.657,01,42.501758,-71.722571,MA," ",yes,74,60,20,T01094500
123,01095220,"STILLWATER RIVER NEAR STERLING, MA",Non-ref,NorthEast,78.68936,01,42.410925,-71.791183,MA," ",yes,15,15,15,T01095220
124,01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",Non-ref,NorthEast,115.1919,01,42.37287,-71.828128,MA," ",yes,12,12,12,T01095375
125,01095505,"NASHUA RIVER 0.4 MI UPSTREAM RT 110 AT CLINTON, MA",Non-ref,NorthEast,322.7157,01,42.429167,-71.680278,MA," ",yes,2,2,2,T01095505
126,01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",Non-ref,NorthEast,173.1357,01,42.634256,-71.657848,MA," ",yes,60,60,20,T01096000
127,01096500,"NASHUA RIVER AT EAST PEPPERELL, MA",Non-ref,NorthEast,1125.681,01,42.667589,-71.575068,MA," ",yes,74,60,20,T01096500
128,01096503,"NISSITISSIT RIVER AT PEPPERELL, MA",Ref,NorthEast,155.7549,01,42.672034,-71.577013,MA," ",yes,3,3,3,T01096503
129,010965852,"BEAVER BROOK AT NORTH PELHAM, NH",Non-ref,NorthEast,123.0804,01,42.782866,-71.353674,NH," ",yes,23,23,20,T010965852
130,010965995,"ASSABET RIVER, MILL ROAD NEAR WESTBORO, MA",Non-ref,NorthEast,17.7714,01,42.26944,-71.63333,MA," ",yes,3,3,3,T010965995
131,01096835,"ASSABET RIVER AT PORT ST AT HUDSON, MA",Non-ref,NorthEast,154.1547,01,42.38528,-71.57778,MA," ",yes,1,1,1,T01096835
132,01096840,"ASSABET RIVER 200 FT BELOW RT 85 AT HUDSON, MA",Non-ref,NorthEast,163.6155,01,42.39,-71.56972,MA," ",yes,1,1,1,T01096840
133,01096885,"ASSABET RIVER AT SUDBURY RD NEAR STOW, MA",Non-ref,NorthEast,224.5284,01,42.41167,-71.50806,MA," ",yes,1,1,1,T01096885
134,01097000,"ASSABET RIVER AT MAYNARD, MA",Non-ref,NorthEast,299.3094,01,42.432038,-71.449785,MA," ",yes,68,60,20,T01097000
135,01097300,"NASHOBA BROOK NEAR ACTON, MA",Non-ref,NorthEast,30.8718,01,42.512593,-71.404228,MA," ",yes,46,46,20,T01097300
136,01097380,"NASHOBA BROOK, COMMONWEALTH AVE AT W. CONCORD, MA",Non-ref,NorthEast,120.4119,01,42.45889,-71.39722,MA," ",yes,2,2,2,T01097380
137,01097480,"SUDBURY RIVER AT ASHLAND, MA",Non-ref,NorthEast,90.8289,01,42.2601,-71.45645,MA," ",yes,4,4,4,T01097480
138,01098530,"SUDBURY RIVER AT SAXONVILLE, MA",Non-ref,NorthEast,274.2327,01,42.325373,-71.397561,MA," ",yes,29,29,20,T01098530
139,01099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",Non-ref,NorthEast,1035.51,01,42.636758,-71.302005,MA," ",yes,72,60,20,T01099500
140,01100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",Non-ref,NorthEast,11983.35,01,42.645925,-71.298394,MA," ",yes,86,60,20,T01100000
141,01100505,"SPICKET RIVER AT NORTH SALEM, NH",Non-ref,NorthEast,42.8643,01,42.849255,-71.215061,NH," ",yes,8,8,8,T01100505
142,01100561,"SPICKET RIVER NEAR METHUEN, MA",Non-ref,NorthEast,158.2974,01,42.743146,-71.208393,MA," ",yes,4,4,4,T01100561
143,01100600,"SHAWSHEEN RIVER NEAR WILMINGTON, MA",Non-ref,NorthEast,96.4215,01,42.568149,-71.214779,MA," ",yes,45,45,20,T01100600
144,01100627,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",Non-ref,NorthEast,173.1114,01,42.671481,-71.149224,MA," ",yes,3,3,3,T01100627
145,01101000,"PARKER RIVER AT BYFIELD, MA",Non-ref,NorthEast,55.4778,01,42.752869,-70.94561,MA," ",yes,63,60,20,T01101000
146,01101344,"IPSWICH RIVER AT MILL STREET NR NORTH READING, MA",Non-ref,NorthEast,58.0671,01,42.56111,-71.11111,MA," ",yes,2,2,2,T01101344
147,01101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",Non-ref,NorthEast,115.2826,01,42.569539,-71.026997,MA," ",yes,70,59,19,T01101500
148,01102000,"IPSWICH RIVER NEAR IPSWICH, MA",Non-ref,NorthEast,316.4265,01,42.659816,-70.893662,MA," ",yes,79,60,20,T01102000
149,01102345,"SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA",Non-ref,NorthEast,60.3816,01,42.46954,-71.006995,MA," ",yes,15,15,15,T01102345
150,01102500,"ABERJONA RIVER AT WINCHESTER, MA",Non-ref,NorthEast,59.74671,01,42.447318,-71.138943,MA," ",yes,70,60,20,T01102500
151,01103025,"ALEWIFE BROOK NEAR ARLINGTON, MA",Non-ref,NorthEast,21.5235,01,42.407041,-71.133942,MA," ",yes,1,1,1,T01103025
152,01103220,"MISCOE BROOK NEAR FRANKLIN, MA",Non-ref,NorthEast,3.033,01,42.04093,-71.42673,MA," ",yes,9,9,9,T01103220
153,01103280,"CHARLES RIVER AT MEDWAY, MA",Non-ref,NorthEast,169.119,01,42.13982,-71.389503,MA," ",yes,11,11,11,T01103280
154,01103455,"TROUT BROOK AT DOVER, MA",Non-ref,NorthEast,9.7065,01,42.25399,-71.29339,MA," ",yes,2,2,2,T01103455
155,01103500,"CHARLES RIVER AT DOVER, MA",Non-ref,NorthEast,473.3199,01,42.256209,-71.260056,MA," ",yes,72,60,20,T01103500
156,01104200,"CHARLES RIVER AT WELLESLEY, MA",Non-ref,NorthEast,548.3745,01,42.316486,-71.227833,MA," ",yes,50,50,20,T01104200
157,01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",Non-ref,NorthEast,17.4951,01,42.398151,-71.27339,MA," ",yes,12,12,12,T01104430
158,01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",Non-ref,NorthEast,57.1176,01,42.368985,-71.270612,MA," ",yes,8,8,8,T01104460
159,01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",Non-ref,NorthEast,2.0808,01,42.354541,-71.268112,MA," ",yes,5,5,5,T01104475
160,01104500,"CHARLES RIVER AT WALTHAM, MA",Non-ref,NorthEast,647.4123,01,42.372319,-71.233667,MA," ",yes,78,60,20,T01104500
161,01105000,"NEPONSET RIVER AT NORWOOD, MA",Non-ref,NorthEast,84.8778,01,42.177599,-71.200886,MA," ",yes,70,60,20,T01105000
162,01105500,"EAST BRANCH NEPONSET RIVER AT CANTON, MA",Non-ref,NorthEast,60.7122,01,42.154544,-71.145884,MA," ",yes,57,57,20,T01105500
163,01105554,"NEPONSET RIVER AT GREENLODGE ST NEAR CANTON, MA",Non-ref,NorthEast,220.7016,01,42.209266,-71.145885,MA," ",yes,5,5,5,T01105554
164,011055566,"NEPONSET RIVER AT MILTON VILLAGE, MA",Non-ref,NorthEast,271.8387,01,42.27093,-71.06838,MA," ",yes,12,12,12,T011055566
165,01105583,"MONATIQUOT RIVER AT EAST BRAINTREE, MA",Non-ref,NorthEast,73.5768,01,42.220933,-70.978103,MA," ",yes,3,3,3,T01105583
166,01105585,"TOWN BROOK AT QUINCY, MA",Non-ref,NorthEast,11.1312,01,42.247877,-70.99727,MA," ",yes,25,25,11,T01105585
167,01105600,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA",Non-ref,NorthEast,12.6603,01,42.190378,-70.944768,MA," ",yes,43,43,20,T01105600
168,01105638,"WEIR RIVER AT LEAVITT STREET AT HINGHAM, MA",Non-ref,NorthEast,39.2292,01,42.23482,-70.87199,MA," ",yes,3,3,3,T01105638
169,01105730,"INDIAN HEAD RIVER AT HANOVER, MA",Non-ref,NorthEast,79.5672,01,42.100657,-70.822541,MA," ",yes,43,43,20,T01105730
170,01105870,"JONES RIVER AT KINGSTON, MA",Non-ref,NorthEast,55.1439,01,41.990936,-70.733649,MA," ",yes,42,42,19,T01105870
171,011058756,"EEL RIVER AT RUSSELL MILL RD NEAR PLYMOUTH, MA",Non-ref,SECstPlain,11.502,01,41.9176,-70.62642,MA," ",yes,2,2,2,T011058756
